,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,-1.0,0.0854032409435024,0.1054918755510769,0.1441001564945226,0.1615693156179493,0.211962798614066,-1.0,-1.0,0.2113011338720792,0.2476423990946812,-1.0,0.2645663313721769,0.2687381103360812,-1.0
T2,-1.0,0.0,0.0410321489001692,0.1065313111545988,-1.0,-1.0,0.2058362096015061,0.2134250243427458,0.2059022025891159,-1.0,0.2533063923585599,0.2498469824947974,0.266256536450323,0.2768138314294535,-1.0
T3,0.0854032409435024,0.0410321489001692,0.0,-1.0,0.1504931206623645,-1.0,-1.0,0.2115922637148765,0.2051643768400392,0.2146752302472128,-1.0,-1.0,0.2675233644859813,-1.0,0.2694709772226304
T4,0.1054918755510769,0.1065313111545988,-1.0,0.0,0.1516340670795266,-1.0,0.2062409197144842,0.2147163775070751,-1.0,-1.0,0.2576197836166924,-1.0,0.2697139303482587,-1.0,0.2706669143600222
T5,0.1441001564945226,-1.0,0.1504931206623645,0.1516340670795266,0.0,-1.0,0.2085893416927899,-1.0,0.2090847541084508,0.22497564539698,-1.0,-1.0,-1.0,-1.0,0.273012745520596
T6,0.1615693156179493,-1.0,-1.0,-1.0,-1.0,0.0,0.2090612039713459,0.2152153987167736,0.211707557031298,-1.0,-1.0,0.2585973962171456,0.274922791846819,-1.0,-1.0
T7,0.211962798614066,0.2058362096015061,-1.0,0.2062409197144842,0.2085893416927899,0.2090612039713459,0.0,-1.0,-1.0,0.1890335503254882,-1.0,0.2578636134876698,-1.0,-1.0,0.2751771255060729
T8,-1.0,0.2134250243427458,0.2115922637148765,0.2147163775070751,-1.0,0.2152153987167736,-1.0,0.0,-1.0,-1.0,-1.0,0.2641624862351646,-1.0,0.2905401225020108,0.2807049864898059
T9,-1.0,0.2059022025891159,0.2051643768400392,-1.0,0.2090847541084508,0.211707557031298,-1.0,-1.0,0.0,0.1877486077963405,0.2636956789363535,0.2621891159812854,-1.0,-1.0,-1.0
T10,0.2113011338720792,-1.0,0.2146752302472128,-1.0,0.22497564539698,-1.0,0.1890335503254882,-1.0,0.1877486077963405,0.0,-1.0,0.2638659573167003,0.2741588238912468,-1.0,-1.0
T11,0.2476423990946812,0.2533063923585599,-1.0,0.2576197836166924,-1.0,-1.0,-1.0,-1.0,0.2636956789363535,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
T12,-1.0,0.2498469824947974,-1.0,-1.0,-1.0,0.2585973962171456,0.2578636134876698,0.2641624862351646,0.2621891159812854,0.2638659573167003,-1.0,0.0,-1.0,-1.0,0.2703667240954959
T13,0.2645663313721769,0.266256536450323,0.2675233644859813,0.2697139303482587,-1.0,0.274922791846819,-1.0,-1.0,-1.0,0.2741588238912468,-1.0,-1.0,0.0,0.2531714389271475,-1.0
T14,0.2687381103360812,0.2768138314294535,-1.0,-1.0,-1.0,-1.0,-1.0,0.2905401225020108,-1.0,-1.0,-1.0,-1.0,0.2531714389271475,0.0,0.2358717917821424
T15,-1.0,-1.0,0.2694709772226304,0.2706669143600222,0.273012745520596,-1.0,0.2751771255060729,0.2807049864898059,-1.0,-1.0,-1.0,0.2703667240954959,-1.0,0.2358717917821424,0.0
